eng,spa,source,otp
Colombian; the Columbian people {GENITIVE:Columbian; from Colombia|COUNTRY:Columbia},,spa <Colombia> [koˈlombja],'kolompya
Comoran; the Comoran people {GENITIVE:Comoran; from Comoros|COUNTRY:The Comoros|LANGUAGE:Comorian; the Comorian language},,zdj <Komori> [komori],'komoli
Kongo; the Kongo people {GENITIVE:Kongo; Congolese; from the Congo|LANGUAGE:Kongo; Kikongo},,kon <Kongo> [koŋo],'kono
Congolese; the people of the Democratic Republic of the Congo; the country {GENITIVE:Congolese; from Democratic Republic of the Congo},,fra <Congo-Kinshasa> [kɔ̃ɡo kɛ̃ʃaza],'konokincasa
Congolese; the people of the Republic of the Congo; the country {GENITIVE:Congolese; from Republic of the Congo},,fra <Congo-Brazzaville> [kɔ̃ɡo bʁazavil],'konopalasafil
Cook Islander; the Cook Islander people {GENITIVE:Cook Island; Cook Islander; from the Cook Islands|COUNTRY:Cook Islands|LANGUAGE:Cook Islands Maori},,eng <Cook Islands> [ˈkʊk ˈaɪləndz],'kukaylan
Costa Rican; the Costa Rican people {GENITIVE:Costa Rican; from Costa Rica|COUNTRY:Costa Rica},,spa <Costa Rica> [kosta rika],'kostalika
Croat; the Croat people {GENITIVE:Croatian; from Croatia|COUNTRY:Croatia|LANGUAGE:Croatian; the Croatian language},,hrv <Hrvati> [xr̩ʋăːti],'halwati
Cuban; the Cuban people {GENITIVE:Cuban; from Cuba|COUNTRY:Cuba},,spa <Cuba> [kuβa],'kupa
Cypriot; the Cypriot people {GENITIVE:Cypriot; from Cyprus|COUNTRY:Cyprus},,ell <Κύπρος> [ˈcipros],'kiplos
Czech; the Czech people {GENITIVE:Czech; from the Czech Republic|COUNTRY:Czechia; Czech Republic|LANGUAGE:Czech; the Czech language},,ces <čech> [ˈt͡ʃɛx],'ceh
Dane; the Danish people {GENITIVE:Danish; from Denmark|COUNTRY:Denmark|LANGUAGE:Danish; the Danish language},,dan <Dan-> [dan],'tan 
Djiboutian; the Djiboutian people {GENITIVE:Djiboutian; from Djibouti|COUNTRY:Djibouti},,som <Jabuuti> [d͡ʒæbuːt],'caputi
Dominican; the Dominican people {GENITIVE:Dominican; from Dominica|COUNTRY:Dominica},,eng <Dominica> [dɒmɪˈniːkə],'tominika
Dominican; Quisqueyan; the people of the Dominican Republic {GENITIVE:Dominican; Quisqueyan; from Dominican Republic|COUNTRY:Dominican Republic},,spa <Quisqueya> [kisˈkeʝa],'kiskeya
Ecuadorian; the Equadorian people {GENITIVE:Ecuadorian; from Ecuador|COUNTRY:Ecuador},,spa <Écuador> [ˈekwaðoɾ],'ekwatol
Egyptian; the Egyptian people {GENITIVE:Egyptian; from Egypt|COUNTRY:Egypt},,ara <مَصر> [mɑsˁɾ],'masli
Englishman; the English people {GENITIVE:English; Anglic; from England|COUNTRY:England|LANGUAGE:English; the English language},,eng <Engl-> [ˈɪŋɡl],'inkil
